customer_id,recency,age,monetary,kmeans_cluster,hierarchical_cluster
C100376,790,38,136.35000000000002,1,
C100379,458,20,2400.68,1,
C100383,385,27,5.23,4,0.0
C100384,515,64,242.4,0,
C100386,519,66,2700.7200000000003,0,
C100398,198,52,300.08,2,
C100400,440,60,300.08,0,1.0
C100401,167,35,7502.0,6,0.0
C100402,386,30,300.08,4,
C100403,150,53,7502.0,6,
C100404,314,36,47.07,4,
C100406,622,68,7502.0,5,
C100410,607,58,2700.7200000000003,0,
C100415,535,57,11.73,0,
C100416,225,64,5.23,2,
C100420,373,53,4801.28,5,
C100421,562,22,600.17,1,1.0
C100427,103,36,365.94,4,
C100438,522,34,4801.28,1,
C100439,478,52,143.36,0,0.0
C100440,197,32,5.23,4,0.0
C100441,201,35,2700.7200000000003,4,
C100444,106,66,650.56,2,
C100446,753,27,573.44,1,
C100449,205,42,20.92,4,
C100451,586,32,9602.72,5,
C100454,367,51,4801.28,5,0.0
C100455,158,45,2700.7200000000003,2,0.0
C100459,15,26,47.07,4,
C100462,500,54,5401.53,5,
C100463,596,48,20.92,0,
C100467,388,57,130.75,0,
C100471,153,40,365.94,4,
C100472,692,64,5.23,0,
C100473,85,66,20.92,2,0.0
C100474,570,28,7502.0,6,
C100477,173,45,83.68,2,
C100478,436,29,896.0,1,
C100481,208,49,242.4,2,
C100484,170,48,573.44,2,0.0
C100488,382,57,47.07,2,
C100490,67,36,4801.28,6,0.0
C100493,650,53,143.36,0,
C100494,761,38,9450.0,5,1.0
C100496,275,53,2400.68,2,
C100507,408,33,7502.0,6,
C100508,82,22,2700.7200000000003,4,
C100515,330,46,573.44,2,
C100519,711,55,1200.32,0,1.0
C100521,210,62,322.56,2,
C100523,631,31,4801.28,1,1.0
C100525,340,36,1200.32,4,
C100529,386,19,47.07,4,
C100535,434,67,35.84,0,0.0
C100539,570,28,293.25,1,
C100540,396,48,20.92,0,
C100544,257,40,365.94,4,
C100545,60,68,16800.0,3,
C100549,79,48,1016.5,2,
C100551,62,32,1050.0,4,
C100561,44,66,9602.72,2,
C100563,315,20,300.08,4,
C100570,767,62,7502.0,5,
C100572,270,29,2700.7200000000003,4,
C100574,349,27,1200.32,4,0.0
C100576,330,30,4801.28,6,
C100579,166,28,365.94,4,
C100587,304,57,143.36,2,
C100599,496,28,7502.0,6,
C100605,606,48,130.75,0,
C100606,265,25,4801.28,6,
C100607,595,54,26250.0,3,2.0
C100610,680,37,300.08,1,
C100622,716,23,143.36,1,
C100625,409,27,11.73,1,0.0
C100629,766,62,896.0,0,
C100630,792,69,5401.53,5,
C100636,611,38,896.0,1,
C100639,591,44,2700.7200000000003,0,1.0
C100640,378,22,1200.32,4,
C100642,754,63,2400.68,0,
C100648,700,25,2700.7200000000003,1,
C100651,391,58,1050.0,0,
C100654,122,19,2700.7200000000003,4,
C100655,686,22,162.64,1,
C100656,423,63,7502.0,5,
C100657,767,69,187.68,0,1.0
C100661,591,19,5401.53,1,1.0
C100663,459,52,5.23,0,
C100666,666,50,143.36,0,
C100671,352,44,1200.32,4,
C100672,295,25,7502.0,6,
C100676,612,26,2700.7200000000003,1,
C100677,418,51,2700.7200000000003,0,
C100684,381,38,35.84,4,
C100687,263,59,7502.0,5,
C100688,315,39,105.57,4,
C100690,695,36,9602.72,5,
C100691,233,51,600.17,2,
C100694,459,61,83.68,0,
C100696,165,39,5401.53,6,
C100697,638,40,1016.5,1,
C100703,38,47,1016.5,2,
C100705,463,21,1200.32,1,
C100706,408,43,5401.53,5,
C100709,361,52,15004.25,3,
C100710,460,36,242.4,1,
C100713,54,23,9450.0,6,
C100718,305,39,573.44,4,
C100720,1,52,2700.7200000000003,2,
C100722,173,41,11.73,4,
C100725,409,55,300.08,0,0.0
C100728,327,50,300.08,2,
C100735,626,57,650.56,0,1.0
C100736,84,35,300.08,4,0.0
C100743,373,54,322.56,2,
C100745,410,46,16800.0,3,
C100746,276,54,143.36,2,
C100748,422,35,600.17,1,0.0
C100753,298,44,20.92,4,
C100754,150,54,650.56,2,
C100758,398,56,2700.7200000000003,0,
C100760,85,45,4801.28,6,
C100764,167,54,2700.7200000000003,2,
C100765,515,20,40.66,1,
C100768,238,65,47.07,2,
C100772,713,45,4801.28,5,
C100778,258,69,600.17,2,
C100782,721,22,5401.53,1,
C100783,222,58,20.92,2,
C100786,368,44,1200.32,4,
C100787,441,35,650.56,1,0.0
C100794,723,19,40.66,1,
C100795,539,44,242.4,0,
C100797,87,31,5401.53,6,
C100799,314,30,162.64,4,
C100801,4,41,1016.5,4,
C100804,7,29,40.66,4,
C100812,380,46,9450.0,5,
C100816,326,20,130.75,4,
C100822,441,35,7502.0,6,
C100828,45,63,300.08,2,
C100833,232,40,896.0,4,0.0
C100840,459,40,4801.28,5,
C100841,399,28,1200.32,4,
C100843,46,61,322.56,2,0.0
C100844,375,33,2400.68,4,
C100849,83,27,300.08,4,
C100851,213,50,2700.7200000000003,2,0.0
C100852,141,31,130.75,4,
C100854,571,66,300.08,0,
C100857,258,67,9602.72,5,
C100867,187,67,4801.28,2,
C100869,679,65,322.56,0,
C100879,625,65,7502.0,5,
C100885,393,40,83.68,4,
C100894,0,59,1200.32,2,
C100895,594,55,11.73,0,1.0
C100899,511,57,365.94,0,1.0
C100900,488,30,162.64,1,0.0
C100901,323,45,15004.25,3,
C100902,522,23,600.17,1,
C100910,222,61,5401.53,2,0.0
C100911,613,47,4801.28,5,
C100919,446,69,60.6,0,
C100921,691,18,573.44,1,
C100926,596,57,4200.0,5,1.0
C100931,209,27,300.08,4,
C100935,373,57,4801.28,5,
C100936,501,32,2700.7200000000003,1,1.0
C100940,371,24,1200.32,4,0.0
C100941,346,26,4801.28,6,
C100944,518,27,1200.32,1,
C100948,180,33,365.94,4,
C100952,222,39,2700.7200000000003,4,
C100955,63,48,105.57,2,
C100960,595,54,5.23,0,
C100962,418,44,20.92,0,
C100966,99,56,650.56,2,
C100978,498,23,300.08,1,
C100979,212,27,4801.28,6,
C100980,710,40,7502.0,5,
C100986,642,47,4801.28,5,
C100987,504,62,47.07,0,
C100994,732,60,1016.5,0,
C101001,362,29,1200.32,4,
C101002,786,29,4801.28,1,
C101004,204,18,2400.68,4,0.0
C101010,648,46,15004.25,3,
C101014,612,49,300.08,0,
C101018,514,28,300.08,1,
C101024,199,28,7502.0,6,
C101027,722,41,5.23,1,1.0
C101034,110,41,46.92,4,
C101035,788,18,136.35000000000002,1,
C101038,794,45,1200.32,0,
C101041,634,38,16800.0,3,
C101045,742,33,2400.68,1,
C101052,288,65,40.66,2,
C101054,352,24,130.75,4,
C101055,279,46,378.75,2,
C101061,269,57,1200.32,2,
C101064,280,66,1200.32,2,
C101067,93,30,4801.28,6,
C101068,5,52,896.0,2,0.0
C101069,501,18,4801.28,1,1.0
C101071,285,19,7502.0,6,
C101072,758,65,600.17,0,
C101074,529,53,1200.32,0,
C101078,214,57,5.23,2,
C101079,488,20,1016.5,1,
C101080,241,34,7502.0,6,
C101082,572,25,20.92,1,
C101084,631,60,365.94,0,
C101089,143,26,83.68,4,
C101095,579,45,650.56,0,0.0
C101097,244,18,1016.5,4,
C101099,327,23,47.07,4,
C101100,712,25,2700.7200000000003,1,
C101108,548,66,600.17,0,
C101115,436,21,365.94,1,0.0
C101116,113,47,1200.32,2,
C101117,470,52,105.57,0,
C101119,703,43,573.44,1,
C101120,626,68,1200.32,0,
C101125,159,38,4801.28,6,
C101131,138,54,322.56,2,
C101132,98,36,46.92,4,
C101133,22,46,60.6,2,
C101134,19,51,9450.0,6,
C101135,21,44,9450.0,6,
C101136,401,30,130.75,4,
C101137,238,22,143.36,4,
C101138,70,24,365.94,4,
C101143,63,46,7502.0,6,0.0
C101154,37,39,187.68,4,
C101173,173,52,162.64,2,
C101188,306,20,600.17,4,
C101196,337,41,650.56,4,
C101204,133,47,300.08,2,0.0
C101205,124,60,4801.28,2,
C101206,540,47,46.92,0,
C101208,97,44,40.66,4,
C101209,454,46,9450.0,5,0.0
C101210,608,44,4200.0,5,
C101212,789,35,162.64,1,
C101216,302,68,26250.0,3,
C101217,367,41,20.92,4,
C101220,731,24,7502.0,1,
C101221,10,39,365.94,4,
C101222,711,62,4801.28,5,
C101225,134,38,2400.68,4,
C101227,95,30,2700.7200000000003,4,
C101229,46,61,300.08,2,
C101235,480,46,4801.28,5,0.0
C101236,350,66,300.08,2,
C101238,106,22,15.15,4,
C101248,617,19,47.07,1,1.0
C101249,87,60,46.92,2,
C101250,104,40,130.75,4,
C101251,602,49,40.66,0,
C101253,41,53,7502.0,6,0.0
C101259,734,60,46.92,0,
C101261,179,31,1016.5,4,
C101271,439,37,83.68,1,
C101278,48,59,2700.7200000000003,2,0.0
C101285,486,37,162.64,1,
C101287,421,64,300.08,0,
C101288,272,50,322.56,2,
C101290,327,47,47.07,2,
C101294,474,28,5401.53,6,1.0
C101295,756,31,20.92,1,1.0
C101301,679,65,600.17,0,1.0
C101303,735,31,5401.53,1,
C101307,17,25,896.0,4,
C101308,182,37,4801.28,6,0.0
C101314,515,31,1016.5,1,
C101316,537,24,4801.28,1,
C101318,36,36,896.0,4,
C101320,37,27,15004.25,3,
C101327,278,52,9602.72,5,
C101329,588,36,162.64,1,
C101337,92,49,4801.28,2,
C101343,724,49,35.84,0,
C101344,373,31,26250.0,3,
C101347,639,37,60.6,1,
C101351,146,56,46.92,2,
C101356,6,32,300.08,4,
C101359,126,42,4801.28,6,
C101362,455,30,573.44,1,
C101363,227,64,300.08,2,0.0
C101364,154,61,4801.28,2,
C101365,626,35,130.75,1,
C101367,250,18,162.64,4,
C101368,301,68,300.08,2,
C101370,365,21,20.92,4,
C101375,305,48,130.75,2,
C101377,34,27,130.75,4,
C101382,578,53,20.92,0,0.0
C101384,490,19,1200.32,1,1.0
C101386,294,18,293.25,4,
C101391,605,49,1016.5,0,
C101393,93,60,2700.7200000000003,2,0.0
C101397,529,25,2700.7200000000003,1,
C101401,153,30,1050.0,4,
C101404,727,54,4200.0,5,
C101405,743,20,300.08,1,
C101406,719,41,9602.72,5,
C101407,326,48,9602.72,6,
C101410,498,32,1200.32,1,
C101411,544,24,1016.5,1,
C101412,184,30,2700.7200000000003,4,0.0
C101413,51,40,2700.7200000000003,4,
C101414,59,59,650.56,2,
C101419,445,45,7502.0,5,0.0
C101420,459,31,2700.7200000000003,1,1.0
C101422,154,18,322.56,4,
C101423,426,35,2700.7200000000003,1,
C101425,512,30,2400.68,1,
C101427,15,32,26250.0,3,
C101428,785,22,15004.25,3,2.0
C101429,274,46,2700.7200000000003,2,
C101432,53,30,15004.25,3,
C101433,725,40,20.92,1,
C101438,631,54,322.56,0,
C101451,109,54,1200.32,2,
C101452,500,31,2700.7200000000003,1,
C101466,775,46,1200.32,0,
C101471,683,44,322.56,0,1.0
C101472,612,57,40.66,0,
C101475,366,53,5.23,2,
C101478,727,19,4801.28,1,
C101482,781,23,136.35000000000002,1,
C101484,45,42,2700.7200000000003,4,0.0
C101489,46,60,300.08,2,
C101494,655,69,46.92,0,
C101503,288,24,4801.28,6,0.0
C101508,223,60,4801.28,2,
C101509,492,23,322.56,1,
C101518,194,52,7502.0,6,0.0
C101521,622,69,162.64,0,
C101522,456,55,20.92,0,
C101523,537,60,650.56,0,
C101525,525,53,46.92,0,
C101526,648,33,143.36,1,
C101527,722,67,35.84,0,
C101529,43,49,365.94,2,0.0
C101531,494,62,136.35000000000002,0,
C101537,470,46,4801.28,5,
C101541,504,53,7502.0,5,0.0
C101543,677,69,1200.32,0,
C101545,347,58,573.44,2,
C101546,248,42,5.23,4,0.0
C101550,421,35,2400.68,1,
C101556,279,47,2700.7200000000003,2,0.0
C101558,354,35,4801.28,6,
C101559,592,63,11.73,0,
C101560,257,20,83.68,4,
C101561,780,49,650.56,0,1.0
C101564,303,40,83.68,4,
C101566,142,62,300.08,2,
C101568,724,23,5.23,1,
C101575,621,68,5.23,0,
C101576,340,41,1200.32,4,
C101579,398,59,365.94,0,
C101580,725,48,162.64,0,1.0
C101584,48,36,4801.28,6,0.0
C101594,537,67,20.92,0,
C101595,317,22,2700.7200000000003,4,0.0
C101600,602,39,5.23,1,
C101605,781,39,187.68,1,1.0
C101610,743,65,4801.28,5,
C101612,730,37,378.75,1,
C101618,331,49,9602.72,5,
C101624,333,57,7502.0,5,
C101629,769,20,300.08,1,
C101633,582,25,1200.32,1,1.0
C101640,164,46,40.66,2,
C101643,41,37,1016.5,4,
C101646,114,68,1200.32,2,0.0
C101647,13,47,187.68,2,
C101651,82,50,650.56,2,
C101652,667,41,573.44,1,
C101654,368,28,35.84,4,0.0
C101655,602,50,1050.0,0,
C101656,269,21,7502.0,6,
C101657,302,64,143.36,2,
C101662,280,46,9450.0,6,
C101663,305,41,35.84,4,
C101666,685,50,130.75,0,
C101667,89,23,26250.0,3,
C101669,690,61,1016.5,0,1.0
C101672,709,27,40.66,1,
C101673,575,40,896.0,1,
C101689,110,57,2700.7200000000003,2,0.0
C101690,647,68,130.75,0,
C101691,370,44,365.94,4,0.0
C101693,714,23,5401.53,1,1.0
C101694,552,51,300.08,0,
C101695,612,18,7502.0,1,
C101697,31,54,1200.32,2,
C101709,381,68,378.75,2,
C101710,10,33,365.94,4,
C101711,772,31,293.25,1,
C101716,194,26,162.64,4,0.0
C101723,778,24,365.94,1,
C101725,607,61,40.66,0,
C101726,79,59,242.4,2,
C101733,376,44,365.94,4,0.0
C101737,441,26,300.08,1,
C101742,700,20,83.68,1,
C101743,614,35,83.68,1,1.0
C101744,234,62,20.92,2,
C101746,584,66,7502.0,5,
C101747,741,47,47.07,0,
C101751,221,32,162.64,4,
C101755,619,56,1200.32,0,1.0
C101756,528,24,4801.28,1,1.0
C101757,325,58,47.07,2,
C101758,557,21,7502.0,1,
C101764,319,66,5.23,2,
C101767,766,40,322.56,1,
C101768,737,63,143.36,0,
C101770,623,64,5.23,0,
C101771,351,48,1016.5,2,
C101773,175,54,130.75,2,
C101775,791,49,7502.0,5,
C101776,493,56,47.07,0,
C101779,667,27,130.75,1,1.0
C101781,747,26,1200.32,1,
C101786,165,59,573.44,2,
C101788,417,66,26250.0,3,
C101790,783,65,1016.5,0,
C101791,215,37,15004.25,3,
C101793,283,52,20.92,2,
C101803,749,33,5.23,1,
C101806,754,31,4801.28,1,
C101810,361,45,11.73,2,
C101817,201,45,4801.28,6,
C101818,125,56,2700.7200000000003,2,
C101820,26,28,7502.0,6,
C101822,713,54,1200.32,0,1.0
C101824,522,22,300.08,1,
C101833,778,69,15.15,0,
C101835,200,29,365.94,4,
C101839,595,49,40.66,0,
C101843,677,18,83.68,1,
C101845,430,28,20.92,1,
C101852,498,55,573.44,0,
C101853,81,38,1016.5,4,
C101855,21,52,300.08,2,
C101856,772,38,5401.53,1,
C101863,0,68,2400.68,2,
C101866,676,66,300.08,0,
C101871,82,22,2700.7200000000003,4,
C101875,547,57,5.23,0,1.0
C101878,723,39,650.56,1,1.0
C101882,212,67,20.92,2,
C101883,394,37,896.0,4,
C101885,124,41,130.75,4,
C101886,236,45,293.25,2,
C101893,423,56,365.94,0,
C101897,637,60,4801.28,5,
C101898,453,57,143.36,0,
C101904,490,38,20.92,1,0.0
C101908,410,41,46.92,4,0.0
C101912,589,59,9602.72,5,
C101917,454,32,365.94,1,0.0
C101919,643,56,2400.68,0,
C101921,119,62,7502.0,2,
C101924,626,29,1200.32,1,1.0
C101926,22,47,1200.32,2,
C101929,381,21,40.66,4,
C101932,595,27,896.0,1,1.0
C101939,647,52,896.0,0,1.0
C101941,17,38,143.36,4,
C101946,712,30,2400.68,1,
C101947,75,40,15004.25,3,2.0
C101949,281,44,1016.5,4,
C101953,314,46,896.0,2,
C101956,741,27,11.73,1,
C101957,491,34,896.0,1,
C101958,722,18,2700.7200000000003,1,1.0
C101961,61,37,322.56,4,
C101965,9,58,293.25,2,
C101967,110,19,896.0,4,
C101970,70,67,40.66,2,
C101989,408,63,11.73,0,
C101991,666,66,7502.0,5,
C101995,440,24,2700.7200000000003,1,
C101996,506,55,16800.0,3,2.0
C102001,762,37,40.66,1,
C102005,347,63,5.23,2,
C102006,675,64,143.36,0,1.0
C102007,122,30,365.94,4,
C102008,425,50,2700.7200000000003,0,
C102009,655,56,16800.0,3,
C102010,11,31,300.08,4,
C102015,341,66,1200.32,2,
C102021,56,36,1016.5,4,
C102024,247,46,242.4,2,
C102029,639,29,40.66,1,
C102030,422,60,11.73,0,
C102033,553,38,378.75,1,
C102037,685,37,47.07,1,1.0
C102043,32,27,4801.28,6,
C102047,710,38,1200.32,1,1.0
C102058,285,28,136.35000000000002,4,
C102060,426,68,4801.28,5,0.0
C102061,523,48,130.75,0,
C102062,789,57,293.25,0,1.0
C102063,450,60,60.6,0,
C102064,464,43,47.07,0,
C102069,178,21,143.36,4,
C102084,26,55,2400.68,2,
C102085,504,20,105.57,1,
C102097,680,65,1050.0,0,1.0
C102098,506,19,2700.7200000000003,1,
C102100,70,55,60.6,2,
C102101,530,39,105.57,1,
C102102,470,32,4801.28,1,1.0
C102103,165,56,7502.0,2,
C102104,222,30,4801.28,6,0.0
C102106,517,33,4801.28,1,
C102108,794,25,46.92,1,1.0
C102113,588,36,11.73,1,
C102114,348,20,300.08,4,
C102117,329,30,9450.0,6,
C102123,507,25,46.92,1,
C102125,345,22,2700.7200000000003,4,
C102127,95,33,5.23,4,
C102130,388,53,35.84,0,
C102131,378,39,300.08,4,
C102134,337,38,46.92,4,
C102136,126,60,4801.28,2,
C102137,695,63,83.68,0,
C102138,318,38,20.92,4,
C102139,665,26,896.0,1,
C102146,252,68,5.23,2,
C102151,200,42,2700.7200000000003,4,0.0
C102154,779,30,5.23,1,
C102156,330,31,378.75,4,
C102158,394,31,4200.0,6,
C102159,294,41,300.08,4,0.0
C102162,558,37,365.94,1,0.0
C102163,442,18,83.68,1,
C102164,159,56,573.44,2,
C102168,119,22,15004.25,3,2.0
C102174,190,58,1050.0,2,
C102175,224,43,40.66,4,
C102176,399,43,2700.7200000000003,4,
C102179,710,59,2700.7200000000003,0,
C102182,381,55,9602.72,5,
C102193,385,37,7502.0,6,
C102200,186,67,47.07,2,0.0
C102203,556,58,9602.72,5,
C102204,176,63,573.44,2,
C102212,335,65,4200.0,2,
C102213,208,69,322.56,2,
C102217,581,56,60.6,0,
C102224,306,41,105.57,4,
C102226,58,27,15.15,4,0.0
C102229,572,61,16800.0,3,
C102230,88,44,5.23,4,
C102234,404,30,300.08,4,0.0
C102238,371,25,4801.28,6,0.0
C102246,657,27,7502.0,1,1.0
C102247,152,36,2700.7200000000003,4,
C102249,546,26,4801.28,1,
C102250,206,24,83.68,4,
C102255,47,69,1200.32,2,
C102259,725,53,1200.32,0,
C102263,776,26,1016.5,1,
C102265,102,52,300.08,2,0.0
C102266,486,36,4801.28,1,
C102271,216,55,60.6,2,
C102272,438,38,143.36,1,
C102275,394,41,300.08,4,
C102277,781,32,20.92,1,
C102280,332,34,105.57,4,
C102282,456,18,2700.7200000000003,1,
C102283,562,31,300.08,1,1.0
C102285,329,56,83.68,2,0.0
C102286,681,68,7502.0,5,
C102287,129,28,300.08,4,
C102289,743,65,2700.7200000000003,0,
C102293,786,67,7502.0,5,
C102294,160,32,187.68,4,0.0
C102297,140,68,2700.7200000000003,2,
C102300,197,59,300.08,2,
C102301,171,25,143.36,4,
C102302,112,25,300.08,4,
C102303,326,60,40.66,2,
C102305,776,29,35.84,1,1.0
C102312,110,69,2700.7200000000003,2,
C102313,484,22,162.64,1,
C102318,304,64,11.73,2,
C102319,699,26,5401.53,1,
C102324,424,32,11.73,1,
C102327,369,39,162.64,4,
C102328,583,42,162.64,1,0.0
C102332,260,39,322.56,4,
C102341,551,53,4801.28,5,
C102342,3,30,1200.32,4,
C102344,359,49,1200.32,2,0.0
C102346,263,50,322.56,2,
C102353,76,69,650.56,2,
C102354,281,22,1200.32,4,
C102355,72,50,650.56,2,0.0
C102357,142,23,11.73,4,
C102358,768,43,35.84,1,1.0
C102359,242,57,322.56,2,
C102366,190,56,15004.25,3,
C102369,763,52,4801.28,5,
C102371,584,62,15004.25,3,
C102372,393,32,365.94,4,
C102375,324,68,20.92,2,
C102381,656,27,2400.68,1,
C102383,366,30,365.94,4,
C102398,334,39,300.08,4,
C102403,559,56,2700.7200000000003,0,
C102404,793,52,130.75,0,
C102405,264,42,9450.0,6,
C102406,392,30,322.56,4,
C102408,95,27,1200.32,4,
C102409,617,20,650.56,1,
C102410,707,30,2400.68,1,
C102416,198,63,1200.32,2,
C102420,779,41,573.44,1,
C102425,273,68,600.17,2,
C102426,282,34,2700.7200000000003,4,
C102429,303,40,40.66,4,
C102433,760,49,600.17,0,
C102441,172,49,365.94,2,
C102447,408,26,9602.72,6,
C102449,663,22,2700.7200000000003,1,
C102454,98,42,300.08,4,
C102455,457,19,143.36,1,
C102456,513,47,35.84,0,
C102459,18,32,7502.0,6,
C102460,135,50,2700.7200000000003,2,
C102461,67,62,2700.7200000000003,2,
C102467,196,33,40.66,4,
C102468,550,37,7502.0,5,
C102474,267,64,2400.68,2,0.0
C102477,164,42,2400.68,4,
C102478,39,67,35.84,2,
C102488,35,43,300.08,4,
C102489,709,25,83.68,1,1.0
C102492,333,44,2700.7200000000003,2,
C102495,541,55,4801.28,5,1.0
C102500,593,41,7502.0,5,0.0
C102503,142,49,7502.0,6,
C102506,618,44,2700.7200000000003,0,
C102508,131,62,322.56,2,
C102510,628,60,40.66,0,
C102511,663,32,2700.7200000000003,1,
C102513,320,58,4801.28,2,
C102515,445,28,9602.72,6,
C102522,256,22,2700.7200000000003,4,
C102524,658,50,5.23,0,
C102527,142,20,83.68,4,
C102529,553,61,40.66,0,
C102531,603,49,300.08,0,
C102535,535,37,322.56,1,
C102540,675,55,7502.0,5,1.0
C102542,584,40,1016.5,1,
C102543,116,29,4801.28,6,0.0
C102544,324,49,650.56,2,
C102547,125,26,2700.7200000000003,4,0.0
C102548,314,64,35.84,2,
C102550,535,30,7502.0,6,
C102554,684,35,130.75,1,
C102558,327,62,60.6,2,
C102559,399,61,130.75,0,0.0
C102560,767,54,2700.7200000000003,0,
C102565,693,35,162.64,1,1.0
C102566,599,40,896.0,1,
C102567,665,29,300.08,1,
C102571,282,68,896.0,2,
C102575,209,48,1016.5,2,0.0
C102584,747,66,5.23,0,
C102585,529,41,365.94,1,0.0
C102587,251,19,378.75,4,
C102588,677,42,5.23,1,
C102590,256,49,4200.0,2,0.0
C102592,101,26,365.94,4,
C102596,457,32,1016.5,1,
C102597,83,25,322.56,4,
C102599,130,22,896.0,4,
C102600,98,63,35.84,2,
C102604,563,63,15.15,0,
C102606,678,64,365.94,0,
C102607,500,38,4200.0,1,
C102615,260,31,83.68,4,0.0
C102619,759,19,4801.28,1,1.0
C102621,282,32,20.92,4,0.0
C102623,269,21,1200.32,4,
C102625,526,44,650.56,0,
C102634,650,66,7502.0,5,1.0
C102638,173,54,322.56,2,0.0
C102641,453,30,47.07,1,
C102642,720,32,162.64,1,
C102646,600,56,300.08,0,
C102647,454,52,2700.7200000000003,0,0.0
C102650,294,33,5.23,4,
C102652,548,66,15.15,0,
C102656,188,19,15.15,4,
C102664,528,63,143.36,0,
C102665,242,61,2400.68,2,
C102667,284,19,162.64,4,
C102669,40,57,5401.53,2,
C102672,301,60,105.57,2,0.0
C102678,390,51,2700.7200000000003,2,0.0
C102679,10,57,650.56,2,
C102683,216,57,7502.0,2,
C102684,643,31,650.56,1,
C102685,718,26,300.08,1,
C102688,131,24,1200.32,4,
C102690,97,26,20.92,4,
C102692,777,63,2400.68,0,
C102693,306,19,1016.5,4,
C102696,33,58,46.92,2,
C102697,764,46,2700.7200000000003,0,1.0
C102707,670,25,4801.28,1,
C102708,383,54,573.44,2,0.0
C102709,477,23,1200.32,1,
C102710,620,44,9450.0,5,
C102713,22,64,130.75,2,
C102715,484,60,9602.72,5,
C102717,443,41,162.64,1,0.0
C102718,746,51,300.08,0,
C102719,532,38,83.68,1,
C102732,617,58,136.35000000000002,0,
C102733,611,67,365.94,0,1.0
C102734,316,58,40.66,2,
C102746,173,23,187.68,4,
C102753,286,63,4801.28,2,
C102760,508,24,573.44,1,
C102761,393,47,1200.32,0,
C102764,212,18,378.75,4,
C102765,345,43,1200.32,4,
